id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_63_dashboardlayoutpage","DashboardLayoutPage → UseSidebar","DashboardLayoutPage → UseSidebar","cross_community",5,"['comm_70','comm_85','comm_95']","Function:frontend/app/(dashboard)/layout.tsx:DashboardLayoutPage","Function:frontend/components/ui/sidebar.tsx:useSidebar"
"proc_64_dashboardlayoutpage","DashboardLayoutPage → Cn","DashboardLayoutPage → Cn","cross_community",5,"['comm_70','comm_85','comm_95','comm_78']","Function:frontend/app/(dashboard)/layout.tsx:DashboardLayoutPage","Function:frontend/lib/utils.ts:cn"
"proc_65_dashboardlayoutpage","DashboardLayoutPage → Sheet","DashboardLayoutPage → Sheet","cross_community",5,"['comm_70','comm_85','comm_95']","Function:frontend/app/(dashboard)/layout.tsx:DashboardLayoutPage","Function:frontend/components/ui/sheet.tsx:Sheet"
"proc_66_keep_correction","Keep_correction → _apply_range","Keep_correction → _apply_range","cross_community",5,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:keep_correction","Function:backend/app/services/tiptap_service.py:_apply_range"
"proc_67_keep_correction","Keep_correction → Text_to_tiptap","Keep_correction → Text_to_tiptap","cross_community",5,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:keep_correction","Function:backend/app/services/tiptap_service.py:text_to_tiptap"
"proc_68_keep_correction","Keep_correction → _paragraph_confidence","Keep_correction → _paragraph_confidence","cross_community",5,"['comm_13','comm_14','comm_8']","Function:backend/app/api/v1/endpoints/corrections.py:keep_correction","Function:backend/app/services/tiptap_service.py:_paragraph_confidence"
"proc_69_undo_correction","Undo_correction → _apply_range","Undo_correction → _apply_range","cross_community",5,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:undo_correction","Function:backend/app/services/tiptap_service.py:_apply_range"
"proc_70_undo_correction","Undo_correction → Text_to_tiptap","Undo_correction → Text_to_tiptap","cross_community",5,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:undo_correction","Function:backend/app/services/tiptap_service.py:text_to_tiptap"
"proc_71_undo_correction","Undo_correction → _paragraph_confidence","Undo_correction → _paragraph_confidence","cross_community",5,"['comm_13','comm_14','comm_8']","Function:backend/app/api/v1/endpoints/corrections.py:undo_correction","Function:backend/app/services/tiptap_service.py:_paragraph_confidence"
"proc_72_bulk_review","Bulk_review → _apply_range","Bulk_review → _apply_range","cross_community",5,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:bulk_review","Function:backend/app/services/tiptap_service.py:_apply_range"
"proc_73_bulk_review","Bulk_review → Text_to_tiptap","Bulk_review → Text_to_tiptap","cross_community",5,"['comm_13','comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:bulk_review","Function:backend/app/services/tiptap_service.py:text_to_tiptap"
"proc_74_bulk_review","Bulk_review → _paragraph_confidence","Bulk_review → _paragraph_confidence","cross_community",5,"['comm_13','comm_14','comm_8']","Function:backend/app/api/v1/endpoints/corrections.py:bulk_review","Function:backend/app/services/tiptap_service.py:_paragraph_confidence"
